iter	Passed	Remaining
521	9161	8388
522	9175	8368
523	9192	8350
524	9207	8330
525	9222	8311
526	9238	8291
527	9253	8272
528	9268	8251
529	9283	8232
530	9297	8212
531	9313	8192
532	9329	8174
533	9345	8155
534	9361	8136
535	9376	8117
536	9391	8097
537	9406	8077
538	9422	8058
539	9438	8040
540	9455	8021
541	9472	8004
542	9487	7985
543	9502	7965
544	9517	7946
545	9532	7926
546	9547	7906
547	9562	7887
548	9577	7868
549	9592	7848
550	9608	7830
551	9624	7811
552	9639	7791
553	9653	7771
554	9670	7753
555	9685	7734
556	9700	7714
557	9715	7695
558	9730	7676
559	9747	7658
560	9762	7639
561	9778	7620
562	9793	7601
563	9808	7582
564	9823	7563
565	9838	7544
566	9855	7526
567	9871	7508
568	9887	7489
569	9902	7470
570	9917	7451
571	9932	7432
572	9949	7414
573	9965	7396
574	9980	7377
575	9996	7358
576	10010	7338
577	10026	7320
578	10055	7311
579	10085	7302
580	10105	7287
581	10127	7273
582	10142	7254
583	10157	7235
584	10174	7217
585	10189	7198
586	10204	7179
587	10219	7160
588	10234	7141
589	10249	7122
590	10264	7103
591	10281	7085
592	10296	7067
593	10313	7049
594	10329	7030
595	10344	7012
596	10359	6993
597	10376	6975
598	10392	6957
599	10407	6938
600	10422	6919
601	10437	6900
602	10454	6882
603	10469	6863
604	10485	6846
605	10502	6828
606	10518	6809
607	10533	6791
608	10548	6772
609	10562	6753
610	10577	6734
611	10595	6717
612	10608	6697
613	10624	6679
614	10639	6660
615	10654	6641
616	10670	6623
617	10686	6605
618	10701	6587
619	10717	6568
620	10734	6551
621	10750	6533
622	10765	6514
623	10780	6495
624	10794	6476
625	10809	6458
626	10824	6439
627	10839	6420
628	10854	6402
629	10869	6383
630	10887	6366
631	10902	6348
632	10916	6329
633	10932	6311
634	10947	6292
635	10962	6274
636	10977	6255
637	10992	6237
638	11006	6218
639	11025	6201
640	11040	6183
641	11055	6165
642	11069	6146
643	11084	6127
644	11100	6109
645	11115	6091
646	11131	6073
647	11146	6055
648	11164	6037
649	11178	6019
650	11194	6001
651	11210	5983
652	11225	5965
653	11240	5946
654	11255	5928
655	11270	5910
656	11285	5891
657	11302	5874
658	11317	5856
659	11333	5838
660	11347	5819
661	11363	5801
662	11380	5784
663	11395	5766
664	11410	5747
665	11424	5729
666	11441	5712
667	11455	5693
668	11471	5675
669	11487	5657
670	11502	5639
671	11516	5621
672	11533	5603
673	11548	5585
674	11564	5568
675	11582	5551
676	11596	5532
677	11611	5514
678	11627	5496
679	11642	5478
680	11660	5461
681	11674	5443
682	11689	5425
683	11704	5407
684	11721	5390
685	11737	5372
686	11751	5354
687	11768	5336
688	11782	5318
689	11798	5300
690	11813	5282
691	11828	5264
692	11845	5247
693	11863	5230
694	11879	5213
695	11894	5195
696	11910	5177
697	11925	5159
698	11941	5141
699	11956	5124
700	11971	5106
701	11986	5088
702	12002	5070
703	12017	5052
704	12033	5035
705	12050	5018
706	12065	5000
707	12082	4983
708	12097	4965
709	12113	4947
710	12128	4929
711	12144	4912
712	12160	4894
713	12175	4876
714	12190	4859
715	12205	4841
716	12221	4823
717	12235	4805
718	12250	4787
719	12265	4769
720	12283	4753
721	12298	4735
722	12313	4717
723	12328	4699
724	12344	4682
725	12360	4664
726	12375	4647
727	12391	4629
728	12407	4612
729	12424	4595
730	12439	4577
731	12454	4559
732	12469	4542
733	12484	4524
734	12500	4507
735	12516	4489
736	12533	4472
737	12549	4455
738	12583	4444
739	12618	4433
740	12638	4417
741	12662	4402
742	12678	4385
743	12697	4369
744	12714	4352
745	12731	4334
746	12750	4318
747	12767	4301
748	12785	4284
749	12802	4267
750	12818	4250
751	12834	4232
752	12850	4215
753	12864	4197
754	12879	4179
755	12894	4161
756	12912	4144
757	12927	4127
758	12943	4109
759	12958	4092
760	12974	4074
761	12989	4057
762	13005	4039
763	13019	4021
764	13035	4004
765	13051	3986
766	13066	3969
767	13082	3951
768	13098	3934
769	13116	3917
770	13131	3900
771	13146	3882
772	13161	3864
773	13176	3847
774	13192	3830
775	13207	3812
776	13221	3794
777	13237	3777
778	13252	3759
779	13269	3742
780	13285	3725
781	13300	3707
782	13315	3690
783	13330	3672
784	13345	3655
785	13360	3637
786	13374	3619
787	13389	3602
788	13407	3585
789	13422	3568
790	13436	3550
791	13452	3532
792	13467	3515
793	13482	3498
794	13498	3480
795	13513	3463
796	13528	3445
797	13546	3428
798	13561	3411
799	13576	3394
800	13591	3376
801	13607	3359
802	13623	3342
803	13638	3324
804	13654	3307
805	13670	3290
806	13687	3273
807	13704	3256
808	13719	3239
809	13734	3221
810	13749	3204
811	13764	3186
812	13779	3169
813	13793	3151
814	13808	3134
815	13825	3117
816	13842	3100
817	13857	3083
818	13871	3065
819	13886	3048
820	13901	3030
821	13915	3013
822	13930	2996
823	13945	2978
824	13960	2961
825	13977	2944
826	13992	2927
827	14007	2909
828	14022	2892
829	14037	2875
830	14052	2857
831	14068	2840
832	14084	2823
833	14099	2806
834	14117	2789
835	14132	2772
836	14149	2755
837	14166	2738
838	14181	2721
839	14197	2704
840	14213	2687
841	14227	2669
842	14243	2652
843	14260	2635
844	14275	2618
845	14290	2601
846	14305	2584
847	14320	2566
848	14334	2549
849	14350	2532
850	14366	2515
851	14381	2498
852	14398	2481
853	14413	2464
854	14429	2447
855	14444	2429
856	14460	2412
857	14476	2395
858	14491	2378
859	14506	2361
860	14522	2344
861	14538	2327
862	14554	2310
863	14569	2293
864	14585	2276
865	14601	2259
866	14615	2242
867	14631	2225
868	14646	2207
869	14662	2190
870	14679	2174
871	14694	2157
872	14710	2140
873	14725	2122
874	14740	2105
875	14755	2088
876	14771	2071
877	14786	2054
878	14800	2037
879	14817	2020
880	14834	2003
881	14849	1986
882	14865	1969
883	14880	1952
884	14895	1935
885	14910	1918
886	14925	1901
887	14940	1884
888	14955	1867
889	14971	1850
890	14987	1833
891	15002	1816
892	15018	1799
893	15033	1782
894	15051	1765
895	15068	1748
896	15083	1731
897	15098	1715
898	15127	1699
899	15156	1684
900	15193	1669
901	15208	1652
902	15223	1635
903	15238	1618
904	15255	1601
905	15270	1584
906	15285	1567
907	15301	1550
908	15315	1533
909	15330	1516
910	15345	1499
911	15360	1482
912	15375	1465
913	15392	1448
914	15407	1431
915	15423	1414
916	15438	1397
917	15453	1380
918	15468	1363
919	15484	1346
920	15500	1329
921	15515	1312
922	15531	1295
923	15546	1278
924	15561	1261
925	15576	1244
926	15591	1227
927	15606	1210
928	15621	1193
929	15636	1176
930	15650	1159
931	15667	1143
932	15683	1126
933	15698	1109
934	15714	1092
935	15731	1075
936	15746	1058
937	15762	1041
938	15776	1024
939	15792	1008
940	15810	991
941	15827	974
942	15842	957
943	15856	940
944	15873	923
945	15887	906
946	15901	889
947	15916	873
948	15931	856
949	15946	839
950	15963	822
951	15979	805
952	15993	788
953	16009	771
954	16025	755
955	16040	738
956	16055	721
957	16071	704
958	16086	687
959	16103	670
960	16118	654
961	16133	637
962	16148	620
963	16162	603
964	16177	586
965	16193	569
966	16208	553
967	16224	536
968	16241	519
969	16257	502
970	16273	486
971	16289	469
972	16303	452
973	16319	435
974	16333	418
975	16347	401
976	16362	385
977	16377	368
978	16393	351
979	16409	334
980	16423	318
981	16438	301
982	16452	284
983	16469	267
984	16484	251
985	16500	234
986	16516	217
987	16533	200
988	16547	184
989	16562	167
990	16577	150
991	16593	133
992	16608	117
993	16622	100
994	16637	83
995	16654	66
996	16669	50
997	16685	33
998	16700	16
999	16715	0
