iter	Logloss
0	0.6917538278
1	0.6903735045
2	0.6892266748
3	0.6882026318
4	0.6872877976
5	0.6864883446
6	0.6856890723
7	0.6849440784
8	0.684275921
9	0.6837138079
10	0.6832009908
11	0.6826591523
12	0.6822407779
13	0.681842052
14	0.6815573825
15	0.6811970136
16	0.680882493
17	0.6806156612
18	0.680334238
19	0.6800881246
20	0.6798585366
21	0.6796252778
22	0.6793928162
23	0.6792168149
24	0.6790208151
25	0.6788171385
26	0.6786741389
27	0.6785075409
28	0.6783517673
29	0.6782143822
30	0.6780610925
31	0.677920019
32	0.6777863021
33	0.6776416027
34	0.677480807
35	0.6773878968
36	0.6772798343
37	0.6771723527
38	0.67705166
39	0.6769633434
40	0.6768705889
41	0.6767611892
42	0.6766191963
43	0.6765328128
44	0.6764274381
45	0.6763424273
46	0.6762517789
47	0.676149945
48	0.6760502582
49	0.6759407746
50	0.6758635564
51	0.6757953975
52	0.675692493
53	0.6756139956
54	0.6755489163
55	0.6754630509
56	0.6753806228
57	0.6753103906
58	0.6752220465
59	0.675166035
60	0.6750877738
61	0.6750196399
62	0.6749404829
63	0.6748562692
64	0.6747854604
65	0.6747182108
66	0.6746416373
67	0.6745565903
68	0.6744572446
69	0.6743631492
70	0.6742814531
71	0.6741976991
72	0.6741300274
73	0.6740720983
74	0.6740063675
75	0.673932518
76	0.6738616616
77	0.6738067362
78	0.6737609681
79	0.6737085384
80	0.6736290677
81	0.6735297324
82	0.6734693067
83	0.6733945977
84	0.6733316603
85	0.6732600561
86	0.6732057679
87	0.6731244336
88	0.6730677673
89	0.6730009487
90	0.6729431122
91	0.6728787036
92	0.672829268
93	0.6727759982
94	0.6727070347
95	0.672651301
96	0.6725640526
97	0.6725291318
98	0.6724873582
99	0.6724042584
100	0.6723445697
101	0.6722798421
102	0.6722021956
103	0.6721268524
104	0.6720685329
105	0.6719959835
106	0.6719355175
107	0.6718725079
108	0.6718162734
109	0.6717423354
110	0.6716552985
111	0.6716051768
112	0.6715216243
113	0.6714696193
114	0.6713885844
115	0.6713255656
116	0.671255154
117	0.6712009046
118	0.6711227696
119	0.6710620275
120	0.6709899614
121	0.6709219719
122	0.6708343905
123	0.6707708489
124	0.6707198896
125	0.6706562323
126	0.6705796909
127	0.6705117273
128	0.6704532594
129	0.6703696822
130	0.6703039753
131	0.670227497
132	0.6701756413
133	0.6701048496
134	0.6700573429
135	0.6700031856
136	0.6699263647
137	0.6698471245
138	0.6697604748
139	0.6696940286
140	0.6696459463
141	0.6695622604
142	0.6695051188
